Indira Rodericks,Hyderabad,,indirarodericksTOI,Hyderabad
,,,,
Sanjeev Devasia,Mumbai,,sanjeevdTOI ,Mumbai
,,,,
Name,Twitter handle,Location,,
BUREAU ,,,,
Akshaya Mukul,@AkshayamukulTOI,Delhi,,
Bharti Jain,@bhartijainTOI,Delhi,,
Amit Anand Chaudhary,@amitanandTOI,Delhi,,
Dipak kr Dash,@dipakdashTOI,Delhi,,
Himanshi Dhawan,@himanshidTOI,Delhi,,
Indrani Bagchi,@IBagchiTOI,Delhi,,
Mohua Chatterjee,@MohuaCTOI,Delhi,,
Subodh Ghildiyal,@subodhgTOI,Delhi,,
Sachin Parashar,@SachinpTOI,Delhi,,
Vishwa Mohan,@vishwamTOI,Delhi,,
Sushmi Dey,@sushmideyTOI,Delhi,,
Rajat Pandit,@rajatpTOI,Delhi,,
Sanjay Dutta,@SanjayDTOI,Delhi,,
CITY,,,,
RUMU BANERJEE,rumubTOI,Delhi,,
AMBIKA PANDIT,ambika pandit TOI,Delhi,,
RISHA CHITLANGIA,rishaC TOI,Delhi,,
RICHI VERMA,richiV TOI,Delhi,,
SOMREET BHATTACHARYA,somreetB TOI,Delhi,,
NITISHA KASHYAP,nitishaK TOI,Delhi,,
ANVIT SRIVASTAVA,anvitS TOI,Delhi,,
SANA SHAKIL,sanashakil TOI,Delhi,,
MAYANK MANOHAR,mayankM TOI,Delhi,,
SURAKSHA P,surakshaP TOI,Delhi,,
DHARVI VAID,,Delhi,,
